,Name,Mana Cost,CMC,Power,Toughness,Type,Creature,Non-Creature,Land,Text,Colour Identity,Rarity,Collector No.,Price,Creature_Advisor,Creature_Angel,Creature_Ape,Creature_Archer,Creature_Archon,Creature_Artifact,Creature_Artificer,Creature_Assassin,Creature_Avatar,Creature_Bard,Creature_Beast,Creature_Bird,Creature_Cat,Creature_Centaur,Creature_Citizen,Creature_Cleric,Creature_Clue,Creature_Construct,Creature_Crocodile,Creature_Cyclops,Creature_Demon,Creature_Detective,Creature_Devil,Creature_Dog,Creature_Dragon,Creature_Drake,Creature_Druid,Creature_Dryad,Creature_Elemental,Creature_Elephant,Creature_Elf,Creature_Elk,Creature_Faerie,Creature_Fish,Creature_Gargoyle,Creature_Giant,Creature_Goat,Creature_Goblin,Creature_God,Creature_Golem,Creature_Gorgon,Creature_Hellion,Creature_Homunculus,Creature_Horror,Creature_Human,Creature_Insect,Creature_Lammasu,Creature_Leech,Creature_Legendary,Creature_Merfolk,Creature_Mole,Creature_Octopus,Creature_Ogre,Creature_Ooze,Creature_Phoenix,Creature_Plant,Creature_Rogue,Creature_Scout,Creature_Shaman,Creature_Shapeshifter,Creature_Skeleton,Creature_Soldier,Creature_Sphinx,Creature_Spider,Creature_Spirit,Creature_Thopter,Creature_Thrull,Creature_Troll,Creature_Turtle,Creature_Unicorn,Creature_Vampire,Creature_Vedalken,Creature_Viashino,Creature_Wall,Creature_Warrior,Creature_Weird,Creature_Wizard,Creature_Wurm,Creature_Zombie,Key_Basic landcycling,Key_Cloak,Key_Collect evidence,Key_Crew,Key_Cycling,Key_Deathtouch,Key_Defender,Key_Disguise,Key_Double strike,Key_Enchant,Key_Equip,Key_Flash,Key_Flying,Key_Haste,Key_Hexproof,Key_Hexproof from,Key_Indestructible,Key_Investigate,Key_Landcycling,Key_Lifelink,Key_Menace,Key_Mill,Key_Prowess,Key_Reach,Key_Surveil,Key_Suspect,Key_Trample,Key_Typecycling,Key_Vigilance,Key_Ward,Black,White,Red,Green,Blue,Uncoloured
66,Proft's Eidetic Memory,{1}{U},2.0,,,Legendary Enchantment,0,1,0,"When Proft's Eidetic Memory enters the battlefield, draw a card.
You have no maximum hand size.
At the beginning of combat on your turn, if you've drawn more than one card this turn, put X +1/+1 counters on target creature you control, where X is the number of cards you've drawn this turn minus one.",['U'],rare,67,"{'usd': '4.68', 'usd_foil': '12.39', 'usd_etched': None, 'eur': '1.06', 'eur_foil': '2.57', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,Projektor Inspector,{2}{U},3.0,3,2,Creature — Human Detective,1,0,0,"Whenever Projektor Inspector or another Detective enters the battlefield under your control and whenever a Detective you control is turned face up, you may draw a card. If you do, discard a card.",['U'],common,68,"{'usd': '0.23', 'usd_foil': '0.36', 'usd_etched': None, 'eur': '0.10', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,Reasonable Doubt,{1}{U},2.0,,,Instant,0,1,0,"Counter target spell unless its controller pays {2}.
Suspect up to one target creature. (A suspected creature has menace and can't block.)",['U'],common,69,"{'usd': '0.44', 'usd_foil': '0.56', 'usd_etched': None, 'eur': '0.11', 'eur_foil': '0.18', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Reenact the Crime,{1}{U}{U}{U},4.0,,,Instant,0,1,0,Exile target nonland card in a graveyard that was put there from anywhere this turn. Copy it. You may cast the copy without paying its mana cost.,['U'],rare,70,"{'usd': '3.27', 'usd_foil': '5.23', 'usd_etched': None, 'eur': '3.33', 'eur_foil': '5.52', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Steamcore Scholar,{2}{U},3.0,2,2,Creature — Weird Detective,1,0,0,"Flying, vigilance
When Steamcore Scholar enters the battlefield, draw two cards. Then discard two cards unless you discard an instant or sorcery card or a creature card with flying.",['U'],rare,71,"{'usd': '1.78', 'usd_foil': '1.76', 'usd_etched': None, 'eur': '0.19', 'eur_foil': '0.60', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
71,Sudden Setback,{2}{U}{U},4.0,,,Instant,0,1,0,The owner of target spell or nonland permanent puts it on the top or bottom of their library.,['U'],uncommon,72,"{'usd': '0.40', 'usd_foil': '0.26', 'usd_etched': None, 'eur': '0.19', 'eur_foil': '0.48', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,Surveillance Monitor,{3}{U},4.0,3,3,Creature — Vedalken Detective,1,0,0,"When Surveillance Monitor enters the battlefield, you may collect evidence 4. (Exile cards with total mana value 4 or greater from your graveyard.)
Whenever you collect evidence, create a 1/1 colorless Thopter artifact creature token with flying.",['U'],uncommon,73,"{'usd': '0.25', 'usd_foil': None, 'usd_etched': None, 'eur': '0.12', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,Unauthorized Exit,{1}{U},2.0,,,Instant,0,1,0,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),['U'],common,74,"{'usd': '0.23', 'usd_foil': None, 'usd_etched': None, 'eur': '0.14', 'eur_foil': '0.18', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74,Agency Coroner,{4}{B},5.0,3,6,Creature — Ogre Cleric,1,0,0,"{2}{B}, Sacrifice another creature: Draw a card. If the sacrificed creature was suspected, draw two cards instead.",['B'],common,75,"{'usd': '0.25', 'usd_foil': None, 'usd_etched': None, 'eur': '0.09', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,Alley Assailant,{2}{B},3.0,3,3,Creature — Vampire Rogue,1,0,0,"Alley Assailant enters the battlefield tapped.
Disguise {4}{B}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When Alley Assailant is turned face up, target opponent loses 3 life and you gain 3 life.",['B'],common,76,"{'usd': '0.23', 'usd_foil': None, 'usd_etched': None, 'eur': None, 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,Barbed Servitor,{3}{B},4.0,1,1,Artifact Creature — Construct,1,0,0,"Indestructible
When Barbed Servitor enters the battlefield, suspect it. (It has menace and can't block.)
Whenever Barbed Servitor deals combat damage to a player, you draw a card and you lose 1 life.
Whenever Barbed Servitor is dealt damage, target opponent loses that much life.",['B'],rare,77,"{'usd': '2.12', 'usd_foil': '2.40', 'usd_etched': None, 'eur': '0.85', 'eur_foil': '1.16', 'tix': None}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
77,Basilica Stalker,{5}{B},6.0,3,4,Creature — Vampire Detective,1,0,0,"Flying
Whenever Basilica Stalker deals combat damage to a player, you gain 1 life and surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Disguise {4}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",['B'],common,78,"{'usd': '0.50', 'usd_foil': '0.23', 'usd_etched': None, 'eur': '0.13', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
78,Case of the Gorgon's Kiss,{B},1.0,,,Enchantment — Case,0,1,0,"When this Case enters the battlefield, destroy up to one target creature that was dealt damage this turn.
To solve — Three or more creature cards were put into graveyards from anywhere this turn. (If unsolved, solve at the beginning of your end step.)
Solved — This Case is a 4/4 Gorgon creature with deathtouch and lifelink in addition to its other types.",['B'],uncommon,79,"{'usd': '0.25', 'usd_foil': '0.25', 'usd_etched': None, 'eur': '0.08', 'eur_foil': '0.26', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,Case of the Stashed Skeleton,{1}{B},2.0,,,Enchantment — Case,0,1,0,"When this Case enters the battlefield, create a 2/1 black Skeleton creature token and suspect it. (It has menace and can't block.)
To solve — You control no suspected Skeletons. (If unsolved, solve at the beginning of your end step.)
Solved — {1}{B}, Sacrifice this Case: Search your library for a card, put it into your hand, then shuffle. Activate only as a sorcery.",['B'],rare,80,"{'usd': '3.65', 'usd_foil': '9.70', 'usd_etched': None, 'eur': '3.78', 'eur_foil': '4.23', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
80,Cerebral Confiscation,{2}{B},3.0,,,Sorcery,0,1,0,"Choose one —
• Target opponent discards two cards.
• Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.",['B'],common,81,"{'usd': '0.24', 'usd_foil': '0.73', 'usd_etched': None, 'eur': '0.12', 'eur_foil': '0.28', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,Clandestine Meddler,{2}{B},3.0,3,2,Creature — Vampire Rogue,1,0,0,"When Clandestine Meddler enters the battlefield, suspect up to one other target creature you control. (A suspected creature has menace and can't block.)
Whenever one or more suspected creatures you control attack, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",['B'],uncommon,82,"{'usd': '0.21', 'usd_foil': '0.33', 'usd_etched': None, 'eur': '0.12', 'eur_foil': '0.24', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
82,Deadly Cover-Up,{3}{B}{B},5.0,,,Sorcery,0,1,0,"As an additional cost to cast this spell, you may collect evidence 6.
Destroy all creatures. If evidence was collected, exile a card from an opponent's graveyard. Then search its owner's graveyard, hand, and library for any number of cards with that name and exile them. That player shuffles, then draws a card for each card exiled from their hand this way.",['B'],rare,83,"{'usd': '3.19', 'usd_foil': '2.81', 'usd_etched': None, 'eur': '1.58', 'eur_foil': '2.62', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,Extract a Confession,{1}{B},2.0,,,Sorcery,0,1,0,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Each opponent sacrifices a creature. If evidence was collected, instead each opponent sacrifices a creature with the greatest power among creatures they control.",['B'],common,84,"{'usd': '0.27', 'usd_foil': '0.40', 'usd_etched': None, 'eur': '0.12', 'eur_foil': '0.20', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,Festerleech,{B},1.0,1,1,Creature — Zombie Leech,1,0,0,"Whenever Festerleech deals combat damage to a player, you mill two cards.
{1}{B}: Festerleech gets +2/+2 until end of turn. Activate only once each turn.",['B'],uncommon,85,"{'usd': '0.26', 'usd_foil': '0.25', 'usd_etched': None, 'eur': '0.13', 'eur_foil': '0.23', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,Homicide Investigator,{1}{B},2.0,2,2,Creature — Human Detective,1,0,0,"Whenever one or more nontoken creatures you control die, investigate. This ability triggers only once each turn. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",['B'],rare,86,"{'usd': '4.51', 'usd_foil': '6.24', 'usd_etched': None, 'eur': '0.02', 'eur_foil': '0.81', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Hunted Bonebrute,{2}{B},3.0,6,2,Creature — Skeleton Beast,1,0,0,"Menace
When Hunted Bonebrute enters the battlefield, target opponent creates two 1/1 white Dog creature tokens.
When Hunted Bonebrute dies, each opponent loses 3 life.
Disguise {1}{B}",['B'],rare,87,"{'usd': '2.10', 'usd_foil': '1.72', 'usd_etched': None, 'eur': '0.58', 'eur_foil': '1.28', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,Illicit Masquerade,{3}{B},4.0,,,Enchantment,0,1,0,"Flash
When Illicit Masquerade enters the battlefield, put an impostor counter on each creature you control.
Whenever a creature you control with an impostor counter on it dies, exile it. Return up to one other target creature card from your graveyard to the battlefield.",['B'],rare,88,"{'usd': '3.81', 'usd_foil': '4.27', 'usd_etched': None, 'eur': '2.79', 'eur_foil': '4.99', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,It Doesn't Add Up,{3}{B}{B},5.0,,,Instant,0,1,0,Return target creature card from your graveyard to the battlefield. Suspect it. (It has menace and can't block.),['B'],uncommon,89,"{'usd': '0.24', 'usd_foil': '0.62', 'usd_etched': None, 'eur': '0.12', 'eur_foil': '0.26', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
89,Lead Pipe,{B},1.0,,,Artifact — Clue Equipment,0,1,0,"Equipped creature gets +2/+0.
Whenever equipped creature dies, each opponent loses 1 life.
{2}, Sacrifice Lead Pipe: Draw a card.
Equip {2}",['B'],uncommon,90,"{'usd': '0.23', 'usd_foil': '0.25', 'usd_etched': None, 'eur': '0.08', 'eur_foil': '0.29', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,Leering Onlooker,{1}{B},2.0,1,3,Creature — Vampire,1,0,0,"Flying
{2}{B}{B}, Exile Leering Onlooker from your graveyard: Create two tapped 1/1 black Bat creature tokens with flying.",['B'],uncommon,91,"{'usd': '0.25', 'usd_foil': '0.26', 'usd_etched': None, 'eur': '0.22', 'eur_foil': '0.50', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,Long Goodbye,{1}{B},2.0,,,Instant,0,1,0,"This spell can't be countered. (This includes by the ward ability.)
Destroy target creature or planeswalker with mana value 3 or less.",['B'],uncommon,92,"{'usd': '0.35', 'usd_foil': '0.89', 'usd_etched': None, 'eur': '0.81', 'eur_foil': '1.94', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,Macabre Reconstruction,{3}{B},4.0,,,Sorcery,0,1,0,"This spell costs {2} less to cast if a creature card was put into your graveyard from anywhere this turn.
Return up to two target creature cards from your graveyard to your hand.",['B'],common,93,"{'usd': '0.27', 'usd_foil': '0.29', 'usd_etched': None, 'eur': '0.10', 'eur_foil': '0.18', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,"Massacre Girl, Known Killer",{2}{B}{B},4.0,4,4,Legendary Creature — Human Assassin,1,0,0,"Menace
Creatures you control have wither. (They deal damage to creatures in the form of -1/-1 counters.)
Whenever a creature an opponent controls dies, if its toughness was less than 1, draw a card.",['B'],mythic,94,"{'usd': '15.35', 'usd_foil': '20.67', 'usd_etched': None, 'eur': '8.80', 'eur_foil': '14.94', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,Murder,{1}{B}{B},3.0,,,Instant,0,1,0,Destroy target creature.,['B'],common,95,"{'usd': None, 'usd_foil': '0.66', 'usd_etched': None, 'eur': '0.10', 'eur_foil': None, 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
